display,gene,display2,entrez,pathway,therapy_type,description,link
TP53 (p53),TP53,p53,7157,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,P53 is a tumor suppressor and plays a pivotal role in controlling tumorigenesis. Cancer therapies are being developed to increase or restore the modified function of P53.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;p53"">p53</a>"
PASD1 (PASD1),PASD1,PASD1,139135,Antigen,Targeted by Other Immuno-Oncology Therapy Type,PASD1 is highly expressed in various cancer types and is a target for cancer vaccine.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;PASD1"">PASD1</a>"
PTTG1IP (PBF),PTTG1IP,PBF,754,Antigen,Targeted by Other Immuno-Oncology Therapy Type,PBF is found to highly express in pituitary tumors and breast cancer. It is therefore used as a target for cancer vaccines in those tumors.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;PBF"">PBF</a>"
PDCD1 (PD-1),PDCD1,PD-1,5133,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,PD-1 is a immune checkpoint molecule and inhibition of it leads to the anti-tumor immunity of T cells. It is the most important target in cancer immunotherapy as of today and many therapies against it have been approved for cancer.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;PD-1"">PD-1</a>"
CD274 (PD-L1),CD274,PD-L1,29126,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"PD-L1 is the major ligand to PD-1 and it is highly expressed by cancer cells and other immune cells, especially macrophages and dendritic cells. Inhibiting PD-L1 is a viable method to unleash the anti-tumor immunity of T cells and a few drugs against this target have been approved.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;PD-L1"">PD-L1</a>"
PDCD1LG2 (PD-L2),PDCD1LG2,PD-L2,80380,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,PD-L2 is a ligand to PD-1. Its expression is not as wide as PD-L1 and its function in binding PD-1 is not very clear at the moment.,"<a href=""NA"">NA</a>"
SILV (PMEL),SILV,PMEL,6490,Antigen,Targeted by Other Immuno-Oncology Therapy Type,PMEL is expressed in melanoma cells. It is a target for cancer vaccine against melanoma.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;PMEL"">PMEL</a>"
POTED (POTE),POTED,POTE,317754,Antigen,Targeted by Other Immuno-Oncology Therapy Type,POTE is highly expressed in testis and it is target for cancer of testis origin. It is a target for cancer vaccine.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;POTE"">POTE</a>"
PRAME (PRAME),PRAME,PRAME,23532,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"PRAME is predominantly expressed in human melanoma cells but not in normal tissues, except for testis. It is a target for cancer vaccine and cell therapies.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;PRAME"">PRAME</a>"
KLK3 (PSA),KLK3,PSA,354,Androgen receptor signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,"PSA is secreted by the epithelial cells of prostate gland. PSA level is elevated in prostate cancer patients, and it is a diagnosis marker for this disease. PSA is also a target for cancer vaccines against prostate cancer.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;PSA"">PSA</a>"
PSCA (PSCA),PSCA,PSCA,8000,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"PSCA is a membrane protein that is highly expressed in prostate, kidney, colon, bladder, placenta, and stomach. It is a target of cell therapies for cancer of those tissue origins.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;PSCA"">PSCA</a>"
PVRIG (PVRIG),PVRIG,PVRIG,79037,TIGIT pathway,T-cell targeted immunomodulator,"PVRIG is believed to be a immune checkpoint molecule, and PVRL2 is its ligand. Disruption of this association leads to enhanced T cell immunity against cancer cells and this inhibition increases T cell proliferation.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;PVRIG"">PVRIG</a>"
RHOC (RhoC),RHOC,RhoC,389,VEGFA-VEGFR2 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,RhoC is GTPase and it is frequently mutated in cancers. Mutated RhoC is a target for cancer vaccines.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;RhoC"">RhoC</a>"
DDX58 (RIG-I),DDX58,RIG-I,23586,RIG-I-like Receptor Signaling,Other immunomodulator,RIG-I is a pattern recognition receptor for viruses. Activation of it leads to inflammatory response and is a target for cancer immunotherapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;RIG-I"">RIG-I</a>"
ROR1 (ROR1),ROR1,ROR1,4919,Wnt Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,ROR1 is found to highly express in cancer stem cell and play a role in tumor migration and metastasis. It is a cell membrane receptor and therefore a target for cancer cell therapy.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;ROR1"">ROR1</a>"
ROR2 (ROR2),ROR2,ROR2,4920,Wnt Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,ROR2 is cell membrane receptor and promotes cell growth of certain cancer cells. It is a target for cancer cell therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ROR2"">ROR2</a>"
RORC (RORC),RORC,RORC,6097,Nuclear Receptors,Other immunomodulator,RORC is the gene that encodes ROR-gamma. ROR-gamma is an important nuclear receptor that plays important role in assisting CD4+ T cells to differentiating to Th17 cells. Th17 cells generate inflammatory cytokine and enhance anti-tumor immunity.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;RORC"">RORC</a>"
SIM2 (SIM-2),SIM2,SIM-2,6493,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"The short form of SIM2, called SIM2s, has tumor suppressive properties. It is a target of cancer vaccine.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;SIM-2"">SIM-2</a>"
SIRPA (SIRPA),SIRPA,SIRPA,140885,JAK/STAT Signaling Pathway,Other immunomodulator,"SIRPA is an inhibitory ligand that binds to CD47, the ""do not eat me"" receptor from phagocytes. Binding of SIRPA to CD47 prevents phagocytosis. Blocking of this ligand leads to increased phagocytosis of tumor cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;SIRPA"">SIRPA</a>"
SOX2 (SOX2),SOX2,SOX2,6657,Cell Differentiation,Targeted by Other Immuno-Oncology Therapy Type,SOX is an transcription factor and it plays role in certain tumor types. It is a target for cancer vaccine.,"<a href=""NA"">NA</a>"
SPAM1 (SPAM1),SPAM1,SPAM1,6677,Hyaluronidase,Targeted by Other Immuno-Oncology Therapy Type,"SPAM1 degrades hyaluronic acid, a major structural proteoglycan found in extracellular matrices and basement membranes. SAPM1 as a hyaluronidase degrades extracellular matrix, which block the therapeutic effects of many cancer drugs. Strategies to increase hyaluronidase level are used to increase cancer drugs effectiveness.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;SPAM1"">SPAM1</a>"
SSTR2 (SSTR2),SSTR2,SSTR2,6752,GPCRs,Targeted by Other Immuno-Oncology Therapy Type,SSTR acts on many sites to inhibit the release of hormones and other secretory proteins. SSTR2 is also highly expressed in several cancer types and a target for cancer therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;SSTR2"">SSTR2</a>"
SSX2 (SSX2),SSX2,SSX2,6757,Transcriptional misregulation in cancer,Targeted by Other Immuno-Oncology Therapy Type,SSX2 is highly expressed by synovial sarcoma cells. It is a target for cancer therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;SSX2"">SSX2</a>"
STAT1 (STAT1),STAT1,STAT1,6772,JAK/STAT Signaling Pathway,Other immunomodulator,"STAT1 is member of STAT family and it generally responds to IFN-alpha, IFN-beta, IFN-gamma, EGF, PDGF, and IL-6. Small molecules to activate STAT1 are drug candidates to boost immune response against cancer.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;STAT1"">STAT1</a>"
STAT3 (STAT3),STAT3,STAT3,6774,JAK/STAT Signaling Pathway,Other immunomodulator,"STAT3 is member of STAT family and it generally responds to IFN-alpha, IFN-beta, IFN-gamma, EGF, PDGF, and IL-6. STAT3 is essential for the differentiation of Th17 cells, which generate inflammatory cytokines to promote anti-tumor immunity.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;STAT3"">STAT3</a>"
TMEM173 (STING),TMEM173,STING,340061,RIG-I-like Receptor Signaling,Other immunomodulator,"STING plays an important role in innate immunity. STING induces type I interferon production, which leads to activated innate immune response. Agonists against STING are being developed as cancer immunotherapies.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;STING"">STING</a>"
BIRC5 (Survivin),BIRC5,Survivin,332,Apoptosis,Targeted by Other Immuno-Oncology Therapy Type,"Survivin is a member of inhibitors of apoptosis (IAP) family and it allows cells to resist apoptosis. It is highly expressed in a few cancers, especially in breast cancer and lung cancer. It is a target for many cancer vaccines and a few cell therapies.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;Survivin"">Survivin</a>"
TACSTD2 (TASTD2),TACSTD2,TASTD2,4070,Antigen,Targeted by Other Immuno-Oncology Therapy Type,TASTD2 is a carcinoma-associated protein expressed on cancer cells. It is a target for CD3-targeted bispecific antibodies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TASTD2"">TASTD2</a>"
TDO2 (TDO),TDO2,TDO,6999,Tryptophan metabolism,T-cell targeted immunomodulator,TDO is an enzyme that metabolizes tryptophan into kynurenine. Kynurenine is a signaling molecule that binds to immune cells and induce immunosuppressive function. Inhibition of TDO leads to enhanced anti-tumor immunity.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TDO"">TDO</a>"
TERT (TERT),TERT,TERT,7015,Telomere pathway,Targeted by Other Immuno-Oncology Therapy Type,TERT prolongs the telomere of cancer cells and enhance their survival.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TERT"">TERT</a>"
TFDP3 (TFDP3),TFDP3,TFDP3,51270,Antigen,Targeted by Other Immuno-Oncology Therapy Type,This gene encodes a member of the DP family of transcription factors. These factors heterodimerize with E2F proteins to enhance their DNA-binding activity and promote transcription from E2F target genes. This protein functions as a negative regulator and inhibits the DNA binding and transcriptional activities of E2F factors. It is a target of cancer vaccine.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TFDP3"">TFDP3</a>"
TGFB1 (TGFB1),TGFB1,TGFB1,7040,TGF-beta Signaling Pathway,Other immunomodulator,"TGF-beta1 is one of the 4 isoforms of TGF-beta, and this molecule predominantly presents immunosuppressive functions on immune cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TGFB1"">TGFB1</a>"
TGFB2 (TGFB2),TGFB2,TGFB2,7042,TGF-beta Signaling Pathway,Other immunomodulator,"TGF-beta2 is one of the 4 isoforms of TGF-beta, and this molecule predominantly presents immunosuppressive functions on immune cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TGFB2"">TGFB2</a>"
TGFBR1 (TGFBR1),TGFBR1,TGFBR1,7046,TGF-beta Signaling Pathway,Other immunomodulator,"TGFBR1 forms the heterodimer complex of TGF receptor, which binds to TGF and leads to the activation of the pathway. Activation of TGF-beta receptor plays dominantly immunosuppressive role in the immune cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TGFBR1"">TGFBR1</a>"
TGFBR2 (TGFBR2),TGFBR2,TGFBR2,7048,TGF-beta Signaling Pathway,Other immunomodulator,"TGFBR2 is a transmembrane protein that has a protein kinase domain, forms a heterodimeric complex with TGF-beta receptor type-1, and binds TGF-beta. Activation of TGF-beta receptor plays dominantly immunosuppressive role in the immune cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TGFBR2"">TGFBR2</a>"
TIGIT (TIGIT),TIGIT,TIGIT,201633,TIGIT pathway,T-cell targeted immunomodulator,TIGIT is immune checkpoint molecule and cell surface receptor. It is highly expressed on activated T cells. TIGIT binds to its ligands CD155 and CD112. Blocking the binding of ligands to TIGIT is promising strategies to enhance T cell's anti-tumor immunity.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TIGIT"">TIGIT</a>"
HAVCR2 (TIM-3),HAVCR2,TIM-3,84868,Gelactin-9/TIM-3 pathway,T-cell targeted immunomodulator,TIM-3 is immune checkpoint and cell surface receptor. Its ligand is mainly Galectin 9. TIM-3 is highly expressed in tumor-infiltrating leukocytes. Blocking its binding with its ligand is pursued by many cancer immunotherapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TIM-3"">TIM-3</a>"
TIMP3 (TIMP3),TIMP3,TIMP3,7078,Matrix Metalloproteinases,Targeted by Other Immuno-Oncology Therapy Type,TIMP3 is an inhibitor of matrix metalloproteinases. TIMP3 is incorporated into oncolytic virus as a product to prevent the degradation of extracellular matrix.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TIMP3"">TIMP3</a>"
TLR2 (TLR2),TLR2,TLR2,7097,Toll-like Receptor Signaling Pathway,Other immunomodulator,"TLR2 is a membrane protein and it binds with lipid-containing pathogen-associated molecular patterns (PAMPs), such as lipoteichoic acid and di- and tri-acylated cysteine-containing lipopeptides.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TLR2"">TLR2</a>"
TLR3 (TLR3),TLR3,TLR3,7098,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR3 is a member of TLR family and it recognizes dsRNA. Its activation leads to innate immunity activation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TLR3"">TLR3</a>"
TLR4 (TLR4),TLR4,TLR4,7099,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR4 is a surface receptor and binds to lipopolysaccharide (LPS). It is a member of TLR family and it activates innate immune responses.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TLR4"">TLR4</a>"
TLR5 (TLR5),TLR5,TLR5,7100,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR5 is a surface receptor and binds to bacterial flagellum. It is a member of TLR family and it activates innate immune responses.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TLR5"">TLR5</a>"
TLR7 (TLR7),TLR7,TLR7,51284,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR7 recognizes single-strand RNA in endosomes.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TLR7"">TLR7</a>"
TLR8 (TLR8),TLR8,TLR8,51311,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR8 recognizes GU-rich single-stranded RNA and G-rich oligonucleotides. It is endosomal receptor recognizing ssRNA too.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TLR8"">TLR8</a>"
TLR9 (TLR9),TLR9,TLR9,54106,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR9 recognizes CpG sequences in DNA molecules. TLR9 generally locates in endoplasmic reticulum.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TLR9"">TLR9</a>"
TNF (TNF),TNF,TNF,7124,TNF alpha Signaling Pathway,Other immunomodulator,TNF is cytokine and is involved in acute inflammation. It has wide range of functions on immune cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TNF"">TNF</a>"
TOP1 (TOP1),TOP1,TOP1,7150,Transcriptional misregulation in cancer,Targeted by Other Immuno-Oncology Therapy Type,"TOP1 is a DNA topoisomerase, an enzyme controlling the topologic states of DNA during transcription. Targeting this molecule is a strategy for stem cell therapy for cancer.","<a href=""NA"">NA</a>"
TNFSF10 (TRAIL),TNFSF10,TRAIL,8743,Apoptosis,Targeted by Other Immuno-Oncology Therapy Type,"TRAIL is a ligand for death receptor 4 (DR4) and 5 (DR5). It also binds to DcR2, whose activation is believed to promote inflammation. Therefore, agonists similar to TRAIL are being evaluated as cancer immunotherapies.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TRAIL"">TRAIL</a>"
DCT (TRP2),DCT,TRP2,1638,Neural Crest Differentiation,Targeted by Other Immuno-Oncology Therapy Type,"TRP2 is over expressed by a variety of cancers, and it is a target for cancer vaccine.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;TRP2"">TRP2</a>"
TSHR (TSHR),TSHR,TSHR,7253,Thyroxine (Thyroid Hormone) Production,Targeted by Other Immuno-Oncology Therapy Type,TSHR is a G protein-coupled receptor. It is the receptor of thyroid-stimulating hormone (TSH). It is found on the surface of thyroid epithelial cells. It is highly expressed on thyroid cancer and target for cancer therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TSHR"">TSHR</a>"
TNFSF12 (TWEAK),TNFSF12,TWEAK,8742,Cytokine-cytokine receptor interaction,Other immunomodulator,TWEAK is the ligand for TWEAK receptor (TWEAKR). This pair is believed to have pro-inflammatory function.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TWEAK"">TWEAK</a>"
TYK2 (TYK2),TYK2,TYK2,7297,JAK/STAT Signaling Pathway,Other immunomodulator,"TYK2 is the first member of JAK family, along with JAK1, JAK2, and JAK3. Tyk2 can be activated by IL12 and type I interferon, as well as IL10.","<a href=""NA"">NA</a>"
TYRO3 (TYRO3),TYRO3,TYRO3,7301,Antigen,Other immunomodulator,TYRO3 is highly expressed in certain cancers and therefore a target for cancer therapy.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TYRO3"">TYRO3</a>"
TYR (Tyrosinase),TYR,Tyrosinase,7299,Dopamine metabolism,Targeted by Other Immuno-Oncology Therapy Type,Tyrosinase is believed to be highly expressed by myeloid derived suppressor cells (MDSCs). It is a target for cancer vaccine.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;Tyrosinase"">Tyrosinase</a>"
LY6K (URLC10),LY6K,URLC10,54742,Antigen,Targeted by Other Immuno-Oncology Therapy Type,URLC10 is a tumor-associated antigen highly expressed in NSCLC. It is also a target for cancer vaccine.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;URLC10"">URLC10</a>"
VEGFA (VEGFA),VEGFA,VEGFA,7422,VEGFA-VEGFR2 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,VEGFA exerts it primary functions through the interaction with VEGFR1 and 2. The activation of VEGFR1/2 by VEGFA also leads to macrophage migration.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;VEGFA"">VEGFA</a>"
FLT1 (VEGFR1),FLT1,VEGFR1,2321,VEGFA-VEGFR2 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"VEGFR1 binds to VEGFA and VEGFB, but its function is not well understood.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;VEGFR1"">VEGFR1</a>"
KDR (VEGFR2),KDR,VEGFR2,3791,VEGFA-VEGFR2 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"VEGFR2 binds to VEGFA, VEGFC , and VEGFE. It is the main subtype of VEGFR molecule to relay the VEGFR signaling pathway.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;VEGFR2"">VEGFR2</a>"
C10orf54 (VISTA),C10orf54,VISTA,64115,Innate Immune System,T-cell targeted immunomodulator,"VISTA is an immune checkpoint molecule. It is highly expressed in tumor infiltrating leukocytes. VISTA can be both a ligand and a receptor, and both functions lead to immunosuppressive phenotype on T cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;VISTA"">VISTA</a>"
VSIG4 (VSIG-4),VSIG4,VSIG-4,11326,Complement system,T-cell targeted immunomodulator,"VSIG-4 is expressed on macrophages, and it may interact with T cells and inhibit normal T cell anti-tumor functions.","<a href=""NA"">NA</a>"
WT1 (WT1),WT1,WT1,7490,Transcriptional misregulation in cancer,Targeted by Other Immuno-Oncology Therapy Type,WT1 is the target for cancer vaccines and cell therapies as it is highly expressed in many types of cancers.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;WT1"">WT1</a>"
ZP3 (ZP3),ZP3,ZP3,7784,Antigen,Targeted by Other Immuno-Oncology Therapy Type,ZP3 is highly expressed in some cancers but not in normal mature cells. It is a target for cancer vaccine.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ZP3"">ZP3</a>"
ADORA3 (ADORA3),ADORA3,ADORA3,140,Adaptive Immune System,T-cell targeted immunomodulator,ADORA3 is a GPCR involved in a variety of intracellular signaling.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ADORA3"">ADORA3</a>"
ATM (ATM),ATM,ATM,472,DNA Damage Response,Other immunomodulator,ATM is a serine/threonine kinase involved in DNA double-strand break damage response.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ATM"">ATM</a>"
ATR (ATR),ATR,ATR,545,DNA Damage Response,Other immunomodulator,ATR is a serine/threonine kinase involved in response to single strand DNA breaks.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ATR"">ATR</a>"
FMNL1 (FMNL1),FMNL1,FMNL1,752,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,"FMNL1 is implicated in morphogenesis, cytokinesis, and cell polarity.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;FMNL1"">FMNL1</a>"
CALR (CALR),CALR,CALR,811,Misfolded Protein,Targeted by Other Immuno-Oncology Therapy Type,Calreticulin binds misfolded protein and prevents export from the ER to the Golgi apparatus.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CALR"">CALR</a>"
CASP9 (CASP9),CASP9,CASP9,842,Apoptosis,Targeted by Other Immuno-Oncology Therapy Type,Caspase-9 is an initiator caspase in apoptotic pathway.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CASP9"">CASP9</a>"
CD1A (CD1A),CD1A,CD1A,909,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,CD1 proteins mediate the presentation of primarily lipid and glycolipid antigens of self or microbial origin to T cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD1A"">CD1A</a>"
CD5 (CD5),CD5,CD5,921,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,CD5 is expressed on T cell surface.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD5"">CD5</a>"
CD8A (CD8),CD8A,CD8,925,Cytokine Signaling in Immune system,T-cell targeted immunomodulator,CD8 is a coreceptor of T cell receptor.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD8"">CD8</a>"
CD9 (MIC3),CD9,MIC3,928,Innate Immune System,Other immunomodulator,"MIC3 or CD9 is a cell surface glycoprotein, known to complex with integrins and other transmembrane 4 superfamily proteins.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MIC3"">MIC3</a>"
CD37 (CD37),CD37,CD37,951,Cellular responses to external stimuli,Other immunomodulator,"CD37 is expressed in highest abundance on mature B cells, and to a lesser extent on T cells and myeloid cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD37"">CD37</a>"
CDH17 (CDH17),CDH17,CDH17,1015,Adherens junctions interactions,Targeted by Other Immuno-Oncology Therapy Type,Cadherin17 is an adhesion molecule.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CDH17"">CDH17</a>"
CDK7 (CAK1),CDK7,CAK1,1022,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,CAK1 or CDK7 mediates progression through the cell cycle.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CAK1"">CAK1</a>"
CGB (CGB3),CGB,CGB3,1082,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,Chorionic gonadotropin subunit beta 3 is a glycoprotein.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CGB3"">CGB3</a>"
CCR5 (CCR5),CCR5,CCR5,1234,Chemokine signaling,Targeted by Other Immuno-Oncology Therapy Type,C-C motif chemokine receptor 5 is cell surface protein on white blood cells that acts as a receptor for chemokines.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CCR5"">CCR5</a>"
CLDN3 (CLDN3),CLDN3,CLDN3,1365,Cell junction organization,Targeted by Other Immuno-Oncology Therapy Type,Claudin 3 is involved in tight junctions.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CLDN3"">CLDN3</a>"
MAPK14 (MAPK14),MAPK14,MAPK14,1432,Cytokine Signaling in Immune system,Other immunomodulator,Mitogen-activated protein kinase 14 or p38 alpha is implicated in diverse cellular functions.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MAPK14"">MAPK14</a>"
CYP1B1 (CYP1B1),CYP1B1,CYP1B1,1545,Fatty acid metabolism,Targeted by Other Immuno-Oncology Therapy Type,Cytochrome P450 family 1 subfamily B member 1 acts in drug metabolism and lipid synthesis.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CYP1B1"">CYP1B1</a>"
