Gene,HGNC Symbol,Friendly Name,Entrez ID,Pathway,Therapy Type,Description,IO_target_URL
SOX2 (SOX2),SOX2,SOX2,6657,Cell Differentiation,Targeted by Other Immuno-Oncology Therapy Type,SOX is an transcription factor and it plays role in certain tumor types. It is a target for cancer vaccine.,
SPAM1 (SPAM1),SPAM1,SPAM1,6677,Hyaluronidase,Targeted by Other Immuno-Oncology Therapy Type,"SPAM1 degrades hyaluronic acid, a major structural proteoglycan found in extracellular matrices and basement membranes. SAPM1 as a hyaluronidase degrades extracellular matrix, which block the therapeutic effects of many cancer drugs. Strategies to increase hyaluronidase level are used to increase cancer drugs effectiveness.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;SPAM1
SSTR2 (SSTR2),SSTR2,SSTR2,6752,GPCRs,Targeted by Other Immuno-Oncology Therapy Type,SSTR acts on many sites to inhibit the release of hormones and other secretory proteins. SSTR2 is also highly expressed in several cancer types and a target for cancer therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;SSTR2
SSX2 (SSX2),SSX2,SSX2,6757,Transcriptional misregulation in cancer,Targeted by Other Immuno-Oncology Therapy Type,SSX2 is highly expressed by synovial sarcoma cells. It is a target for cancer therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;SSX2
STAT1 (STAT1),STAT1,STAT1,6772,JAK/STAT Signaling Pathway,Other immunomodulator,"STAT1 is member of STAT family and it generally responds to IFN-alpha, IFN-beta, IFN-gamma, EGF, PDGF, and IL-6. Small molecules to activate STAT1 are drug candidates to boost immune response against cancer.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;STAT1
STAT3 (STAT3),STAT3,STAT3,6774,JAK/STAT Signaling Pathway,Other immunomodulator,"STAT3 is member of STAT family and it generally responds to IFN-alpha, IFN-beta, IFN-gamma, EGF, PDGF, and IL-6. STAT3 is essential for the differentiation of Th17 cells, which generate inflammatory cytokines to promote anti-tumor immunity.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;STAT3
TMEM173 (STING),TMEM173,STING,340061,RIG-I-like Receptor Signaling,Other immunomodulator,"STING plays an important role in innate immunity. STING induces type I interferon production, which leads to activated innate immune response. Agonists against STING are being developed as cancer immunotherapies.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;STING
BIRC5 (Survivin),BIRC5,Survivin,332,Apoptosis,Targeted by Other Immuno-Oncology Therapy Type,"Survivin is a member of inhibitors of apoptosis (IAP) family and it allows cells to resist apoptosis. It is highly expressed in a few cancers, especially in breast cancer and lung cancer. It is a target for many cancer vaccines and a few cell therapies.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;Survivin
TACSTD2 (TASTD2),TACSTD2,TASTD2,4070,Antigen,Targeted by Other Immuno-Oncology Therapy Type,TASTD2 is a carcinoma-associated protein expressed on cancer cells. It is a target for CD3-targeted bispecific antibodies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TASTD2
TDO2 (TDO),TDO2,TDO,6999,Tryptophan metabolism,T-cell targeted immunomodulator,TDO is an enzyme that metabolizes tryptophan into kynurenine. Kynurenine is a signaling molecule that binds to immune cells and induce immunosuppressive function. Inhibition of TDO leads to enhanced anti-tumor immunity.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TDO
TERT (TERT),TERT,TERT,7015,Telomere pathway,Targeted by Other Immuno-Oncology Therapy Type,TERT prolongs the telomere of cancer cells and enhance their survival.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TERT
TFDP3 (TFDP3),TFDP3,TFDP3,51270,Antigen,Targeted by Other Immuno-Oncology Therapy Type,This gene encodes a member of the DP family of transcription factors. These factors heterodimerize with E2F proteins to enhance their DNA-binding activity and promote transcription from E2F target genes. This protein functions as a negative regulator and inhibits the DNA binding and transcriptional activities of E2F factors. It is a target of cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TFDP3
TGFB1 (TGFB1),TGFB1,TGFB1,7040,TGF-beta Signaling Pathway,Other immunomodulator,"TGF-beta1 is one of the 4 isoforms of TGF-beta, and this molecule predominantly presents immunosuppressive functions on immune cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TGFB1
TGFB2 (TGFB2),TGFB2,TGFB2,7042,TGF-beta Signaling Pathway,Other immunomodulator,"TGF-beta2 is one of the 4 isoforms of TGF-beta, and this molecule predominantly presents immunosuppressive functions on immune cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TGFB2
TGFBR1 (TGFBR1),TGFBR1,TGFBR1,7046,TGF-beta Signaling Pathway,Other immunomodulator,"TGFBR1 forms the heterodimer complex of TGF receptor, which binds to TGF and leads to the activation of the pathway. Activation of TGF-beta receptor plays dominantly immunosuppressive role in the immune cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TGFBR1
TGFBR2 (TGFBR2),TGFBR2,TGFBR2,7048,TGF-beta Signaling Pathway,Other immunomodulator,"TGFBR2 is a transmembrane protein that has a protein kinase domain, forms a heterodimeric complex with TGF-beta receptor type-1, and binds TGF-beta. Activation of TGF-beta receptor plays dominantly immunosuppressive role in the immune cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TGFBR2
TIGIT (TIGIT),TIGIT,TIGIT,201633,TIGIT pathway,T-cell targeted immunomodulator,TIGIT is immune checkpoint molecule and cell surface receptor. It is highly expressed on activated T cells. TIGIT binds to its ligands CD155 and CD112. Blocking the binding of ligands to TIGIT is promising strategies to enhance T cell's anti-tumor immunity.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TIGIT
HAVCR2 (TIM-3),HAVCR2,TIM-3,84868,Gelactin-9/TIM-3 pathway,T-cell targeted immunomodulator,TIM-3 is immune checkpoint and cell surface receptor. Its ligand is mainly Galectin 9. TIM-3 is highly expressed in tumor-infiltrating leukocytes. Blocking its binding with its ligand is pursued by many cancer immunotherapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TIM-3
TIMP3 (TIMP3),TIMP3,TIMP3,7078,Matrix Metalloproteinases,Targeted by Other Immuno-Oncology Therapy Type,TIMP3 is an inhibitor of matrix metalloproteinases. TIMP3 is incorporated into oncolytic virus as a product to prevent the degradation of extracellular matrix.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TIMP3
TLR2 (TLR2),TLR2,TLR2,7097,Toll-like Receptor Signaling Pathway,Other immunomodulator,"TLR2 is a membrane protein and it binds with lipid-containing pathogen-associated molecular patterns (PAMPs), such as lipoteichoic acid and di- and tri-acylated cysteine-containing lipopeptides.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TLR2
TLR3 (TLR3),TLR3,TLR3,7098,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR3 is a member of TLR family and it recognizes dsRNA. Its activation leads to innate immunity activation.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TLR3
TLR4 (TLR4),TLR4,TLR4,7099,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR4 is a surface receptor and binds to lipopolysaccharide (LPS). It is a member of TLR family and it activates innate immune responses.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TLR4
TLR5 (TLR5),TLR5,TLR5,7100,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR5 is a surface receptor and binds to bacterial flagellum. It is a member of TLR family and it activates innate immune responses.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TLR5
TLR7 (TLR7),TLR7,TLR7,51284,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR7 recognizes single-strand RNA in endosomes.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TLR7
TLR8 (TLR8),TLR8,TLR8,51311,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR8 recognizes GU-rich single-stranded RNA and G-rich oligonucleotides. It is endosomal receptor recognizing ssRNA too.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TLR8
TLR9 (TLR9),TLR9,TLR9,54106,Toll-like Receptor Signaling Pathway,Other immunomodulator,TLR9 recognizes CpG sequences in DNA molecules. TLR9 generally locates in endoplasmic reticulum.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TLR9
TNF (TNF),TNF,TNF,7124,TNF alpha Signaling Pathway,Other immunomodulator,TNF is cytokine and is involved in acute inflammation. It has wide range of functions on immune cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TNF
TOP1 (TOP1),TOP1,TOP1,7150,Transcriptional misregulation in cancer,Targeted by Other Immuno-Oncology Therapy Type,"TOP1 is a DNA topoisomerase, an enzyme controlling the topologic states of DNA during transcription. Targeting this molecule is a strategy for stem cell therapy for cancer.",
TNFSF10 (TRAIL),TNFSF10,TRAIL,8743,Apoptosis,Targeted by Other Immuno-Oncology Therapy Type,"TRAIL is a ligand for death receptor 4 (DR4) and 5 (DR5). It also binds to DcR2, whose activation is believed to promote inflammation. Therefore, agonists similar to TRAIL are being evaluated as cancer immunotherapies.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TRAIL
DCT (TRP2),DCT,TRP2,1638,Neural Crest Differentiation,Targeted by Other Immuno-Oncology Therapy Type,"TRP2 is over expressed by a variety of cancers, and it is a target for cancer vaccine.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;TRP2
TSHR (TSHR),TSHR,TSHR,7253,Thyroxine (Thyroid Hormone) Production,Targeted by Other Immuno-Oncology Therapy Type,TSHR is a G protein-coupled receptor. It is the receptor of thyroid-stimulating hormone (TSH). It is found on the surface of thyroid epithelial cells. It is highly expressed on thyroid cancer and target for cancer therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TSHR
TNFSF12 (TWEAK),TNFSF12,TWEAK,8742,Cytokine-cytokine receptor interaction,Other immunomodulator,TWEAK is the ligand for TWEAK receptor (TWEAKR). This pair is believed to have pro-inflammatory function.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TWEAK
TYK2 (TYK2),TYK2,TYK2,7297,JAK/STAT Signaling Pathway,Other immunomodulator,"TYK2 is the first member of JAK family, along with JAK1, JAK2, and JAK3. Tyk2 can be activated by IL12 and type I interferon, as well as IL10.",
TYRO3 (TYRO3),TYRO3,TYRO3,7301,Antigen,Other immunomodulator,TYRO3 is highly expressed in certain cancers and therefore a target for cancer therapy.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TYRO3
TYR (Tyrosinase),TYR,Tyrosinase,7299,Dopamine metabolism,Targeted by Other Immuno-Oncology Therapy Type,Tyrosinase is believed to be highly expressed by myeloid derived suppressor cells (MDSCs). It is a target for cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;Tyrosinase
LY6K (URLC10),LY6K,URLC10,54742,Antigen,Targeted by Other Immuno-Oncology Therapy Type,URLC10 is a tumor-associated antigen highly expressed in NSCLC. It is also a target for cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;URLC10
VEGFA (VEGFA),VEGFA,VEGFA,7422,VEGFA-VEGFR2 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,VEGFA exerts it primary functions through the interaction with VEGFR1 and 2. The activation of VEGFR1/2 by VEGFA also leads to macrophage migration.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;VEGFA
FLT1 (VEGFR1),FLT1,VEGFR1,2321,VEGFA-VEGFR2 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"VEGFR1 binds to VEGFA and VEGFB, but its function is not well understood.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;VEGFR1
KDR (VEGFR2),KDR,VEGFR2,3791,VEGFA-VEGFR2 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"VEGFR2 binds to VEGFA, VEGFC , and VEGFE. It is the main subtype of VEGFR molecule to relay the VEGFR signaling pathway.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;VEGFR2
C10orf54 (VISTA),C10orf54,VISTA,64115,Innate Immune System,T-cell targeted immunomodulator,"VISTA is an immune checkpoint molecule. It is highly expressed in tumor infiltrating leukocytes. VISTA can be both a ligand and a receptor, and both functions lead to immunosuppressive phenotype on T cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;VISTA
VSIG4 (VSIG-4),VSIG4,VSIG-4,11326,Complement system,T-cell targeted immunomodulator,"VSIG-4 is expressed on macrophages, and it may interact with T cells and inhibit normal T cell anti-tumor functions.",
WT1 (WT1),WT1,WT1,7490,Transcriptional misregulation in cancer,Targeted by Other Immuno-Oncology Therapy Type,WT1 is the target for cancer vaccines and cell therapies as it is highly expressed in many types of cancers.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;WT1
ZP3 (ZP3),ZP3,ZP3,7784,Antigen,Targeted by Other Immuno-Oncology Therapy Type,ZP3 is highly expressed in some cancers but not in normal mature cells. It is a target for cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ZP3
ADORA3 (ADORA3),ADORA3,ADORA3,140,Adaptive Immune System,T-cell targeted immunomodulator,ADORA3 is a GPCR involved in a variety of intracellular signaling.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ADORA3
ATM (ATM),ATM,ATM,472,DNA Damage Response,Other immunomodulator,ATM is a serine/threonine kinase involved in DNA double-strand break damage response.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ATM
ATR (ATR),ATR,ATR,545,DNA Damage Response,Other immunomodulator,ATR is a serine/threonine kinase involved in response to single strand DNA breaks.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ATR
FMNL1 (FMNL1),FMNL1,FMNL1,752,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,"FMNL1 is implicated in morphogenesis, cytokinesis, and cell polarity.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;FMNL1
CALR (CALR),CALR,CALR,811,Misfolded Protein,Targeted by Other Immuno-Oncology Therapy Type,Calreticulin binds misfolded protein and prevents export from the ER to the Golgi apparatus.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CALR
CASP9 (CASP9),CASP9,CASP9,842,Apoptosis,Targeted by Other Immuno-Oncology Therapy Type,Caspase-9 is an initiator caspase in apoptotic pathway.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CASP9
CD1A (CD1A),CD1A,CD1A,909,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,CD1 proteins mediate the presentation of primarily lipid and glycolipid antigens of self or microbial origin to T cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CD1A
CD5 (CD5),CD5,CD5,921,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,CD5 is expressed on T cell surface.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CD5
CD8A (CD8),CD8A,CD8,925,Cytokine Signaling in Immune system,T-cell targeted immunomodulator,CD8 is a coreceptor of T cell receptor.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CD8
CD9 (MIC3),CD9,MIC3,928,Innate Immune System,Other immunomodulator,"MIC3 or CD9 is a cell surface glycoprotein, known to complex with integrins and other transmembrane 4 superfamily proteins.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MIC3
CD37 (CD37),CD37,CD37,951,Cellular responses to external stimuli,Other immunomodulator,"CD37 is expressed in highest abundance on mature B cells, and to a lesser extent on T cells and myeloid cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CD37
CDH17 (CDH17),CDH17,CDH17,1015,Adherens junctions interactions,Targeted by Other Immuno-Oncology Therapy Type,Cadherin17 is an adhesion molecule.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CDH17
CDK7 (CAK1),CDK7,CAK1,1022,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,CAK1 or CDK7 mediates progression through the cell cycle.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CAK1
CGB (CGB3),CGB,CGB3,1082,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,Chorionic gonadotropin subunit beta 3 is a glycoprotein.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CGB3
CCR5 (CCR5),CCR5,CCR5,1234,Chemokine signaling,Targeted by Other Immuno-Oncology Therapy Type,C-C motif chemokine receptor 5 is cell surface protein on white blood cells that acts as a receptor for chemokines.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CCR5
CLDN3 (CLDN3),CLDN3,CLDN3,1365,Cell junction organization,Targeted by Other Immuno-Oncology Therapy Type,Claudin 3 is involved in tight junctions.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CLDN3
MAPK14 (MAPK14),MAPK14,MAPK14,1432,Cytokine Signaling in Immune system,Other immunomodulator,Mitogen-activated protein kinase 14 or p38 alpha is implicated in diverse cellular functions.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MAPK14
CYP1B1 (CYP1B1),CYP1B1,CYP1B1,1545,Fatty acid metabolism,Targeted by Other Immuno-Oncology Therapy Type,Cytochrome P450 family 1 subfamily B member 1 acts in drug metabolism and lipid synthesis.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CYP1B1
CD55 (CD55),CD55,CD55,1604,Innate Immune System,Targeted by Other Immuno-Oncology Therapy Type,CD55 is a glycoprotein.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CD55
EMR1 (EMR1),EMR1,EMR1,2015,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,EMR1 is an adhesion GPCR.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;EMR1
EPHA3 (EPHA3),EPHA3,EPHA3,2042,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,EPH receptor A3 is protein-tyrosine kinase implicated in development.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;EPHA3
FCER2 (CD23),FCER2,CD23,2208,IL4 Signaling,Targeted by Other Immuno-Oncology Therapy Type,"CD23 is an antibody isotype involved in allergy and resistance to parasites, and important in regulating IgE levels.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CD23
FCGR1A (CD64),FCGR1A,CD64,2209,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,CD64 is a glycoprotein found on macrophages and monocytes.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CD64
FGF5 (FGF5),FGF5,FGF5,2250,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,"Fibroblast growth factor 5 involved in different signaling cascades including PI3K, RAS-MAPK, and STAT.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;FGF5
LRRC32 (GARP),LRRC32,GARP,2615,TGFb Signaling,T-cell targeted immunomodulator,"GARP is a regulator of TGFB1, TGFB2, and TGFB3.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;GARP
GDNF (GDNF),GDNF,GDNF,2668,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,GDNF or glial cell derived neurotrophic factor is secreted ligand of the TGF-beta superfamily of proteins.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;GDNF
GHRH (GHRH),GHRH,GHRH,2691,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,Growth hormone releasing hormone triggers the release of growth hormone.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;GHRH
GNRH1 (LHRH),GNRH1,LHRH,2796,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,Gonadotropin releasing hormone 1 leads to the synthesis and secretion of gonadotropins LH and FSH.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;LHRH
CCR10 (CCR10),CCR10,CCR10,2826,Cytokine Signaling in Immune system,Other immunomodulator,CCR10 is a chemokine receptor and is involved in T cell-mediated skin inflammation.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CCR10
CXCR3 (CXCR3),CXCR3,CXCR3,2833,Chemokine signaling,Other immunomodulator,CXCR3 or C-X-C motif chemokine receptor 3 is expressed on activated T lymphocytes and NK cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CXCR3
GUCY2C (GUCY2C),GUCY2C,GUCY2C,2984,GC-C Signaling,Targeted by Other Immuno-Oncology Therapy Type,Guanylate cyclase 2C is a key receptor for heat-stable enterotoxins.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;GUCY2C
HDAC2 (HDAC2),HDAC2,HDAC2,3066,Chromatin modifying enzymes,Other immunomodulator,Histone deacetylase 2 removes acetyl groups from the lysine residues at the N-terminal of core histones.,
HMMR (CD168),HMMR,CD168,3161,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,CD168 or Hyaluronan mediated motility receptor is overexpressed in breast cancer.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CD168
IL1A (IL1A),IL1A,IL1A,3552,Cytokine Signaling in Immune system,Other immunomodulator,Interleukin 1 alpha is produced by activated macrophages and can lead to the activation of tumor necrosis factor-alpha.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL1A
IL4 (IL4),IL4,IL4,3565,Cytokine Signaling in Immune system,T-cell targeted immunomodulator,interleukin 4 induces naïve helper T cells to differentiate.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL4
IL4R (IL4R),IL4R,IL4R,3566,Cytokine Signaling in Immune system,T-cell targeted immunomodulator,interleukin 4 receptor binds its ligand to induce naïve helper T cells to differentiate.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL4R
IL6ST (CD130),IL6ST,CD130,3572,Cytokine Signaling in Immune system,Other immunomodulator,CD130 or interleukin 6 signal transducer is a subunit of IL6-receptor family.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CD130
IL18 (IL18),IL18,IL18,3606,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,Interleukin 18 induces interferon-gamma production and may modulate both innate and adaptive immunity.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL18
ITGA4 (ITGA4),ITGA4,ITGA4,3676,Adaptive Immune System,Other immunomodulator,integrin subunit alpha 4 is involved in lymphocyte migration.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ITGA4
LGALS3BP (LGALS3BP),LGALS3BP,LGALS3BP,3959,Cell-cell signaling,Other immunomodulator,Galectin 3 binding protein is elevated in the serum of some cancer patients and may be implicated in immune response associated with natural killer cells and lymphokine-activated killer cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;LGALS3BP
LTA (LTA),LTA,LTA,4049,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,Lymphotoxin alpha is a member of the tumor necrosis factor family and is a cytokine produced by lymphocytes.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;LTA
MCL1 (MCL1),MCL1,MCL1,4170,Apoptosis,Targeted by Other Immuno-Oncology Therapy Type,"MCL1 is BCL2 family apoptosis regulator, whose alternative splicing can either inhibit or promote apoptosis.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MCL1
CD99 (MIC2),CD99,MIC2,4267,Adaptive Immune System,Other immunomodulator,MIC2 or CD99 is expressed on all leukocytes and may augment T-cell adhesion.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MIC2
CXCL9 (CXCL9),CXCL9,CXCL9,4283,Chemokine signaling,T-cell targeted immunomodulator,C-X-C motif chemokine ligand 9 is involved in immune cell differentiation.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CXCL9
MMP2 (MMP2),MMP2,MMP2,4313,Matrix Metalloproteinase,Targeted by Other Immuno-Oncology Therapy Type,MMP2 is a matrix metalloproteinase involved in the breakdown of extracellular matrix.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MMP2
MUC2 (MUC2),MUC2,MUC2,4583,Innate Immune System,Targeted by Other Immuno-Oncology Therapy Type,Mucin 2 coats the epithelia of mucus-membrane containing organs.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MUC2
NFKB1 (NFKB),NFKB1,NFKB,4790,Cytokine Signaling in Immune system,Other immunomodulator,Nuclear factor kappa B subunit 1 is a part of a protein complex that controls DNA transcription and regulates immune response to infection.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;NFKB
YBX1 (YBX1),YBX1,YBX1,4904,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,"Y-box binding protein 1 is target in cancer therapy, since it supports the replication of adenovirus oncolytic viruses.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;YBX1
KLK7 (KLK7),KLK7,KLK7,5650,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,"Kallikrein related peptidase 7 is a serine protease, whose overexpression may be a route for metastasis in solid tumors.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;KLK7
